,name,github_id,npm_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,labels,license,trending
0,React,withastro/astro,@astrojs/react,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-10 17:36:57,2023-08-10 16:36:09,6025,577.0,1659.0,167,4740.0,160.0,2886.0,32547.0,2023-08-10 13:28:09,@astrojs/cloudflare@6.7.0,100.0,The all-in-one web framework designed for speed. Star to support our work!.,52485.0,52485.0,561.0,https://www.npmjs.com/package/@astrojs/react,141334.0,141334.0,39,True,1,,,
1,Preact,withastro/astro,@astrojs/preact,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-10 17:36:57,2023-08-10 16:36:09,6025,577.0,1659.0,167,4740.0,160.0,2886.0,32547.0,2023-08-10 13:28:09,@astrojs/cloudflare@6.7.0,100.0,The all-in-one web framework designed for speed. Star to support our work!.,52485.0,52485.0,561.0,https://www.npmjs.com/package/@astrojs/preact,21933.0,21933.0,38,True,2,,,
2,SolidJS,withastro/astro,@astrojs/solid-js,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-10 17:36:57,2023-08-10 16:36:09,6025,577.0,1659.0,167,4740.0,160.0,2886.0,32547.0,2023-08-10 13:28:09,@astrojs/cloudflare@6.7.0,100.0,The all-in-one web framework designed for speed. Star to support our work!.,52485.0,52485.0,561.0,https://www.npmjs.com/package/@astrojs/solid-js,20237.0,20237.0,38,True,2,,,
3,Svelte,withastro/astro,@astrojs/svelte,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-10 17:36:57,2023-08-10 16:36:09,6025,577.0,1659.0,167,4740.0,160.0,2886.0,32547.0,2023-08-10 13:28:09,@astrojs/cloudflare@6.7.0,100.0,The all-in-one web framework designed for speed. Star to support our work!.,52485.0,52485.0,561.0,https://www.npmjs.com/package/@astrojs/svelte,35183.0,35183.0,38,True,2,,,
4,Vue,withastro/astro,@astrojs/vue,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-10 17:36:57,2023-08-10 16:36:09,6025,577.0,1659.0,167,4740.0,160.0,2886.0,32547.0,2023-08-10 13:28:09,@astrojs/cloudflare@6.7.0,100.0,The all-in-one web framework designed for speed. Star to support our work!.,52485.0,52485.0,561.0,https://www.npmjs.com/package/@astrojs/vue,41542.0,41542.0,38,True,2,,,
5,Cloudflare,withastro/astro,@astrojs/cloudflare,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-10 17:36:57,2023-08-10 16:36:09,6025,577.0,1659.0,167,4740.0,160.0,2886.0,32547.0,2023-08-10 13:28:09,@astrojs/cloudflare@6.7.0,100.0,The all-in-one web framework designed for speed. Star to support our work!.,52485.0,52485.0,561.0,https://www.npmjs.com/package/@astrojs/cloudflare,25441.0,25441.0,38,True,1,,,
6,Netlify,withastro/astro,@astrojs/netlify,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-10 17:36:57,2023-08-10 16:36:09,6025,577.0,1659.0,167,4740.0,160.0,2886.0,32547.0,2023-08-10 13:28:09,@astrojs/cloudflare@6.7.0,100.0,The all-in-one web framework designed for speed. Star to support our work!.,52485.0,52485.0,561.0,https://www.npmjs.com/package/@astrojs/netlify,17355.0,17355.0,38,True,1,,,
7,Node,withastro/astro,@astrojs/node,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-10 17:36:57,2023-08-10 16:36:09,6025,577.0,1659.0,167,4740.0,160.0,2886.0,32547.0,2023-08-10 13:28:09,@astrojs/cloudflare@6.7.0,100.0,The all-in-one web framework designed for speed. Star to support our work!.,52485.0,52485.0,561.0,https://www.npmjs.com/package/@astrojs/node,44456.0,44456.0,38,True,1,,,
8,Vercel,withastro/astro,@astrojs/vercel,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-10 17:36:57,2023-08-10 16:36:09,6025,577.0,1659.0,167,4740.0,160.0,2886.0,32547.0,2023-08-10 13:28:09,@astrojs/cloudflare@6.7.0,100.0,The all-in-one web framework designed for speed. Star to support our work!.,52485.0,52485.0,561.0,https://www.npmjs.com/package/@astrojs/vercel,30496.0,30496.0,38,True,1,,,
9,AlpineJS,withastro/astro,@astrojs/alpinejs,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-08-10 17:36:57,2023-08-10 16:36:09,6025,577.0,1659.0,167,4740.0,160.0,2886.0,32547.0,2023-08-10 13:28:09,@astrojs/cloudflare@6.7.0,100.0,The all-in-one web framework designed for speed. Star to support our work!.,52485.0,52485.0,561.0,https://www.npmjs.com/package/@astrojs/alpinejs,5127.0,5127.0,37,True,3,,,
