,name,github_id,npm_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,license,labels
0,React,withastro/astro,@astrojs/react,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-28 17:59:52,2023-09-28 17:57:54,6519,789.0,1777.0,178,5127.0,106.0,3204.0,35529.0,2023-09-25 19:57:27,@astrojs/netlify@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",63021.0,63021.0,612.0,https://www.npmjs.com/package/@astrojs/react,237043.0,237043.0,39,True,1,,,
1,Node,withastro/astro,@astrojs/node,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-28 17:59:52,2023-09-28 17:57:54,6519,789.0,1777.0,178,5127.0,106.0,3204.0,35529.0,2023-09-25 19:57:27,@astrojs/netlify@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",63021.0,63021.0,612.0,https://www.npmjs.com/package/@astrojs/node,62807.0,62807.0,39,True,1,1.0,,
2,Preact,withastro/astro,@astrojs/preact,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-28 17:59:52,2023-09-28 17:57:54,6519,789.0,1777.0,178,5127.0,106.0,3204.0,35529.0,2023-09-25 19:57:27,@astrojs/netlify@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",63021.0,63021.0,612.0,https://www.npmjs.com/package/@astrojs/preact,27302.0,27302.0,38,True,2,,,
3,Lit,withastro/astro,@astrojs/lit,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-28 17:59:52,2023-09-28 17:57:54,6519,789.0,1777.0,178,5127.0,106.0,3204.0,35529.0,2023-09-25 19:57:27,@astrojs/netlify@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",63021.0,63021.0,612.0,https://www.npmjs.com/package/@astrojs/lit,11961.0,11961.0,38,True,2,,,
4,SolidJS,withastro/astro,@astrojs/solid-js,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-28 17:59:52,2023-09-28 17:57:54,6519,789.0,1777.0,178,5127.0,106.0,3204.0,35529.0,2023-09-25 19:57:27,@astrojs/netlify@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",63021.0,63021.0,612.0,https://www.npmjs.com/package/@astrojs/solid-js,22182.0,22182.0,38,True,2,,,
5,Svelte,withastro/astro,@astrojs/svelte,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-28 17:59:52,2023-09-28 17:57:54,6519,789.0,1777.0,178,5127.0,106.0,3204.0,35529.0,2023-09-25 19:57:27,@astrojs/netlify@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",63021.0,63021.0,612.0,https://www.npmjs.com/package/@astrojs/svelte,49951.0,49951.0,38,True,2,,,
6,Vue,withastro/astro,@astrojs/vue,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-28 17:59:52,2023-09-28 17:57:54,6519,789.0,1777.0,178,5127.0,106.0,3204.0,35529.0,2023-09-25 19:57:27,@astrojs/netlify@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",63021.0,63021.0,612.0,https://www.npmjs.com/package/@astrojs/vue,56998.0,56998.0,38,True,2,,,
7,Cloudflare,withastro/astro,@astrojs/cloudflare,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-28 17:59:52,2023-09-28 17:57:54,6519,789.0,1777.0,178,5127.0,106.0,3204.0,35529.0,2023-09-25 19:57:27,@astrojs/netlify@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",63021.0,63021.0,612.0,https://www.npmjs.com/package/@astrojs/cloudflare,35738.0,35738.0,38,True,2,,,
8,Netlify,withastro/astro,@astrojs/netlify,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-28 17:59:52,2023-09-28 17:57:54,6519,789.0,1777.0,178,5127.0,106.0,3204.0,35529.0,2023-09-25 19:57:27,@astrojs/netlify@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",63021.0,63021.0,612.0,https://www.npmjs.com/package/@astrojs/netlify,21626.0,21626.0,38,True,2,,,
9,Vercel,withastro/astro,@astrojs/vercel,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-28 17:59:52,2023-09-28 17:57:54,6519,789.0,1777.0,178,5127.0,106.0,3204.0,35529.0,2023-09-25 19:57:27,@astrojs/netlify@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",63021.0,63021.0,612.0,https://www.npmjs.com/package/@astrojs/vercel,48528.0,48528.0,38,True,2,,,
10,AlpineJS,withastro/astro,@astrojs/alpinejs,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-09-28 17:59:52,2023-09-28 17:57:54,6519,789.0,1777.0,178,5127.0,106.0,3204.0,35529.0,2023-09-25 19:57:27,@astrojs/netlify@3.0.2,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",63021.0,63021.0,612.0,https://www.npmjs.com/package/@astrojs/alpinejs,7541.0,7541.0,37,True,3,,,
