,name,github_id,npm_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,npm_url,npm_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,labels
0,React,withastro/astro,@astrojs/react,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-30 17:28:32,2023-11-30 16:32:22,6839,508.0,1894.0,186,5457.0,117.0,3404.0,37304.0,2023-11-30 14:26:28,astro@3.6.4,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",75644.0,75644.0,648.0,https://www.npmjs.com/package/@astrojs/react,277055.0,277055.0,39,True,1,,,
1,Node,withastro/astro,@astrojs/node,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-30 17:28:32,2023-11-30 16:32:22,6839,508.0,1894.0,186,5457.0,117.0,3404.0,37304.0,2023-11-30 14:26:28,astro@3.6.4,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",75644.0,75644.0,648.0,https://www.npmjs.com/package/@astrojs/node,74426.0,74426.0,39,True,1,,,
2,Preact,withastro/astro,@astrojs/preact,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-30 17:28:32,2023-11-30 16:32:22,6839,508.0,1894.0,186,5457.0,117.0,3404.0,37304.0,2023-11-30 14:26:28,astro@3.6.4,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",75644.0,75644.0,648.0,https://www.npmjs.com/package/@astrojs/preact,23368.0,23368.0,38,True,2,,,
3,Lit,withastro/astro,@astrojs/lit,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-30 17:28:32,2023-11-30 16:32:22,6839,508.0,1894.0,186,5457.0,117.0,3404.0,37304.0,2023-11-30 14:26:28,astro@3.6.4,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",75644.0,75644.0,648.0,https://www.npmjs.com/package/@astrojs/lit,10924.0,10924.0,38,True,2,,,
4,SolidJS,withastro/astro,@astrojs/solid-js,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-30 17:28:32,2023-11-30 16:32:22,6839,508.0,1894.0,186,5457.0,117.0,3404.0,37304.0,2023-11-30 14:26:28,astro@3.6.4,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",75644.0,75644.0,648.0,https://www.npmjs.com/package/@astrojs/solid-js,17314.0,17314.0,38,True,2,,,
5,Svelte,withastro/astro,@astrojs/svelte,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-30 17:28:32,2023-11-30 16:32:22,6839,508.0,1894.0,186,5457.0,117.0,3404.0,37304.0,2023-11-30 14:26:28,astro@3.6.4,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",75644.0,75644.0,648.0,https://www.npmjs.com/package/@astrojs/svelte,50392.0,50392.0,38,True,2,,,
6,Vue,withastro/astro,@astrojs/vue,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-30 17:28:32,2023-11-30 16:32:22,6839,508.0,1894.0,186,5457.0,117.0,3404.0,37304.0,2023-11-30 14:26:28,astro@3.6.4,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",75644.0,75644.0,648.0,https://www.npmjs.com/package/@astrojs/vue,57116.0,57116.0,38,True,2,,,
7,Cloudflare,withastro/astro,@astrojs/cloudflare,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-30 17:28:32,2023-11-30 16:32:22,6839,508.0,1894.0,186,5457.0,117.0,3404.0,37304.0,2023-11-30 14:26:28,astro@3.6.4,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",75644.0,75644.0,648.0,https://www.npmjs.com/package/@astrojs/cloudflare,37016.0,37016.0,38,True,2,,,
8,Netlify,withastro/astro,@astrojs/netlify,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-30 17:28:32,2023-11-30 16:32:22,6839,508.0,1894.0,186,5457.0,117.0,3404.0,37304.0,2023-11-30 14:26:28,astro@3.6.4,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",75644.0,75644.0,648.0,https://www.npmjs.com/package/@astrojs/netlify,20580.0,20580.0,38,True,2,,,
9,Vercel,withastro/astro,@astrojs/vercel,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-30 17:28:32,2023-11-30 16:32:22,6839,508.0,1894.0,186,5457.0,117.0,3404.0,37304.0,2023-11-30 14:26:28,astro@3.6.4,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",75644.0,75644.0,648.0,https://www.npmjs.com/package/@astrojs/vercel,44086.0,44086.0,38,True,2,,,
10,AlpineJS,withastro/astro,@astrojs/alpinejs,integrations-frontend,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-30 17:28:32,2023-11-30 16:32:22,6839,508.0,1894.0,186,5457.0,117.0,3404.0,37304.0,2023-11-30 14:26:28,astro@3.6.4,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",75644.0,75644.0,648.0,https://www.npmjs.com/package/@astrojs/alpinejs,6883.0,6883.0,37,True,3,,,
11,Deno,withastro/astro,@astrojs/deno,integrations-ssr,https://github.com/withastro/astro,https://github.com/withastro/astro,2021-03-15 17:19:47,2023-11-30 17:28:32,2023-11-30 16:32:22,6839,508.0,1894.0,186,5457.0,117.0,3404.0,37304.0,2023-11-30 14:26:28,astro@3.6.4,100.0,"The web framework that scales with you Build fast content sites, powerful web applications, dynamic server APIs, and..",75644.0,75644.0,648.0,https://www.npmjs.com/package/@astrojs/deno,2921.0,2921.0,37,True,3,,,
12,VSCode Astro Language Tools,withastro/language-tools,,integrations-ide,https://github.com/withastro/language-tools,https://github.com/withastro/language-tools,2021-08-20 19:47:14,2023-11-21 09:42:41,2023-11-13 10:58:46,503,26.0,33.0,11,411.0,40.0,249.0,181.0,2023-11-02 11:44:26,@astrojs/check@0.3.1,100.0,Language tools for Astro.,3916.0,3916.0,28.0,,,,24,True,1,MIT,1.0,
13,Astro SEO,jonasmerlin/astro-seo,,integrations-seo,https://github.com/jonasmerlin/astro-seo,https://github.com/jonasmerlin/astro-seo,2021-08-28 09:35:19,2023-10-24 21:32:21,2023-08-27 10:35:06,236,,39.0,3,50.0,7.0,23.0,625.0,2023-08-27 10:35:44,0.8.0,26.0,Makes it easy to add information that is relevant for SEO to your Astro app.,2789.0,2789.0,23.0,,,,22,True,1,MIT,,
14,AstroWind,onwidget/astrowind,,gh-template-theme,https://github.com/onwidget/astrowind,https://github.com/onwidget/astrowind,2022-06-24 03:13:29,2023-11-23 16:09:52,2023-11-23 16:09:52,938,42.0,407.0,31,136.0,10.0,75.0,1664.0,,,8.0,AstroWind: A free template using Astro 3.0 and Tailwind CSS. Astro starter theme.,,,32.0,,,,19,True,1,MIT,-1.0,"['tailwind', 'typescript']"
15,astro-navbar,surjithctly/astro-navbar,astro-navbar,components,https://github.com/surjithctly/astro-navbar,https://github.com/surjithctly/astro-navbar,2023-01-02 13:50:31,2023-10-14 15:05:16,2023-10-14 15:04:40,47,13.0,8.0,4,8.0,,11.0,74.0,2023-10-14 15:05:16,2.3.0,12.0,Astro-Navbar is a fully responsive headless navigation bar for Astro. It supports mobile responsive toggle and..,1037.0,1037.0,6.0,https://www.npmjs.com/package/astro-navbar,6438.0,6438.0,19,True,1,,,
